Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.51,-.23,-.30,-.06,-.16,-.19,-.27,-.23,-.32,-.43,-.40,-.29,***,***,-.20,-.20,-.33
1881,-.31,-.23,-.04,-.01,.02,-.33,.08,-.05,-.27,-.44,-.37,-.24,-.18,-.20,-.31,-.01,-.10,-.36
1882,.25,.20,.01,-.31,-.24,-.29,-.29,-.16,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.18,-.25,-.38
1883,-.58,-.67,-.16,-.30,-.26,-.12,-.06,-.23,-.35,-.16,-.45,-.15,-.29,-.33,-.65,-.24,-.13,-.32
1884,-.17,-.12,-.65,-.60,-.36,-.42,-.41,-.52,-.45,-.45,-.58,-.47,-.43,-.41,-.15,-.54,-.45,-.49
1885,-1.01,-.46,-.24,-.49,-.59,-.45,-.34,-.41,-.40,-.37,-.39,-.12,-.44,-.47,-.65,-.44,-.40,-.39
1886,-.76,-.85,-.72,-.38,-.34,-.38,-.14,-.43,-.33,-.32,-.40,-.22,-.44,-.43,-.58,-.48,-.32,-.35
1887,-1.09,-.71,-.45,-.39,-.26,-.21,-.25,-.55,-.21,-.49,-.28,-.44,-.45,-.43,-.67,-.37,-.34,-.33
1888,-.50,-.62,-.64,-.22,-.16,-.03,-.01,-.22,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.34,-.09,-.09
1889,-.28,.28,-.02,.16,-.04,-.07,-.09,-.21,-.31,-.42,-.62,-.55,-.18,-.15,-.08,.03,-.12,-.45
1890,-.64,-.59,-.48,-.25,-.36,-.16,-.23,-.39,-.36,-.10,-.63,-.47,-.39,-.40,-.59,-.36,-.26,-.36
1891,-.46,-.69,-.16,-.35,-.16,-.12,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.22,-.13,-.30
1892,-.50,-.17,-.68,-.46,-.24,-.06,-.38,-.33,-.21,-.28,-.83,-.65,-.40,-.35,-.24,-.46,-.26,-.44
1893,-1.52,-.98,-.32,-.30,-.43,-.19,-.14,-.34,-.29,-.29,-.34,-.61,-.48,-.48,-1.05,-.35,-.22,-.31
1894,-.92,-.43,-.21,-.54,-.27,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.71,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.12,-.22,-.31,-.32,-.63,-.33,-.23,-.09
1896,-.36,-.18,-.49,-.60,-.16,.08,.00,-.11,-.12,.05,-.21,-.21,-.19,-.19,-.26,-.42,-.01,-.09
1897,-.40,-.42,-.40,-.05,.13,-.06,.04,-.06,-.06,-.15,-.26,-.29,-.16,-.16,-.34,-.10,-.03,-.16
1898,.04,-.45,-.80,-.28,-.28,-.08,-.13,-.18,-.18,-.36,-.51,-.26,-.29,-.29,-.23,-.45,-.13,-.35
1899,-.13,-.65,-.59,-.23,-.25,-.35,-.17,-.06,-.05,.05,.36,-.47,-.21,-.19,-.34,-.36,-.20,.12
1900,-.62,-.14,.05,-.10,-.04,-.09,-.11,-.08,-.03,.23,-.12,-.02,-.09,-.13,-.41,-.03,-.09,.03
1901,-.33,-.09,.27,.11,-.11,.02,.02,-.15,-.26,-.32,-.22,-.41,-.12,-.09,-.15,.09,-.04,-.27
1902,-.17,.03,-.37,-.37,-.38,-.35,-.32,-.28,-.32,-.30,-.44,-.59,-.32,-.31,-.18,-.37,-.32,-.35
